title,award_value,number_of_awards,competition_to_apply,donor,award_description,required_criteria,year_entering,award_information
Alberta Geomatics Group Scholarship,500,1,Continuing Undergraduate Awards Competition,Alberta Geomatics Group,"Offered annually to a continuing undergraduate student entering third or fourth year in the Schulich School of Engineering, majoring in Geomatics Engineering or the Faculty of Arts, majoring in Geography; Academic merit.","{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Any"", ""Faculty"": ""Arts"", ""Major"": ""N/A""}","3, 4","{""Type of award"": ""Scholarship"", ""Internal/external/government"": ""Internal""}"
Alberta Union of Provincial Employees Undergraduate Bursary,700,2,Continuing Undergraduate Awards Competition,Alberta Union of Provincial Employees,"Offered annually to continuing undergraduate students in any faculty; Financial need; Academic merit; Member in good standing (two consecutive years of service) of the Alberta Union of Provincial Employees or the sons, daughters, legal wards or spouses; Dependent of retired or deceased member within a period of 10 years of retirement or death of the member (dependent must be under the age of 25).","{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Any"", ""Faculty"": ""Any""}","2, 3, 4","{""Type of award"": ""Bursary"", ""Internal/external/government"": ""Internal""}"
Aghi Balachandran Memorial Award,1400,1,Law Nominated Awards:  New + Continuing Students,Aran Balachandran,"Offered annually to an undergraduate student in second or third year in the Faulty of Law, JD program; Satisfactory academic standing. Minimum GPA of 2.60; Must be involved with the Student Legal Assistance program. Preference given to a student who demonstrates involvement in the student law community and/or law related volunteerism beyond the SLA program","{""Student type"": ""Professional"", ""Citizenship/residency"": ""Any"", ""Faculty"": ""Law""}","2, 3","{""Type of award"": ""Award"", ""Internal/external/government"": ""Internal""}"
Air Liquide Canada Award,2000,1,Continuing Undergraduate Awards Competition,Air Liquide Canada,Offered annually to a continuing undergraduate student in the Faculty of Science or Schulich School of Engineering; Financial need; Academic merit,"{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Any"", ""Faculty"": ""Engineering""}","2, 3, 4","{""Type of award"": ""Bursary"", ""Internal/external/government"": ""Internal""}"
Advocis Educational Foundation Scholarship,1200,1,Law Awards,Advocis,"Offered annually to a student entering third year in the Faculty of Law, JD program; Based primarily on academic merit; Financial need may also be taken into consideration; Interest and aptitude in the area of estate planning.","{""Student type"": ""Professional"", ""Citizenship/residency"": ""Any"", ""Faculty"": ""Law""}",3,"{""Type of award"": ""Scholarship"", ""Internal/external/government"": ""Internal""}"
AIMCo Foundation for Financial Education Undergraduate Award,2000,5,Continuing Undergraduate Awards Competition,The AIMCo Foundation for Financial Education,Offered annually to a continuing undergraduate student enrolled at the Haskayne School of Business with a concentration in Finance; Academic merit; Extracurricular activities demonstrating leadership,"{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Any"", ""Faculty"": ""Business"", ""Major"": ""N/A""}","2, 3, 4","{""Type of award"": ""Award"", ""Internal/external/government"": ""Internal""}"
Albert Jucker-Kiddle Memorial Scholarship,1000,1,Undergraduate Nominated - Continuing Students,Amelia Kiddle and Jonathan Jucker,Offered annually to a continuing undergraduate student in the 3rd or 4th year of the Bachelor of Community Rehabilitation and Disability Studies degree in the Cumming School of Medicine; Academic Merit; Demonstrated excellence in practicums with children with disabilities.,"{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Any"", ""Faculty"": ""Medicine (non MD)"", ""Major"": ""N/A""}","3, 4","{""Type of award"": ""Scholarship"", ""Internal/external/government"": ""Internal""}"
Alex Bakshan Memorial Scholarship,1500,1,Continuing Undergraduate Awards Competition,"Alberta Chapter of the American Concrete Institute together with Inland Concrete, friends and family of Alex Bakshan","Offered annually to an undergraduate student entering final year in the Schulich School of Engineering, majoring in Civil Engineering; Preference will be given to a student who has successfully completed ENCI 413 - Introduction to Civil Engineering Materials and ENCI 451 - Structural Engineering I; Academic merit; Canadian citizen or Permanent Resident.","{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Domestic"", ""Faculty"": ""Engineering"", ""Major"": ""N/A""}",4,"{""Type of award"": ""Scholarship"", ""Internal/external/government"": ""Internal""}"
Advocis Calgary Scholarship in Risk Management and Insurance,2000,1,Continuing Undergraduate Awards Competition,Advocis Calgary,"Offered annually to a continuing undergraduate student entering fourth year in the Haskayne School of Business with a Risk Management and Insurance; Risk Management and Insurance/Finance; or Personal Financial Planning concentration; Academic merit; Extra-curricular activities; Interest in Sales, Financial Planning, Life Insurance or Investment Planning; Canadian citizen or Permanent Resident; In the event that there are no eligible candidates in the Risk Management and Insurance; Risk Management and Insurance/Finance; or Personal Financial Planning concentrations, then students in any concentration within the Haskayne School of Business will be considered, providing they meet the balance of the criteria.","{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Domestic"", ""Faculty"": ""Business"", ""Major"": ""N/A""}",4,"{""Type of award"": ""Scholarship"", ""Internal/external/government"": ""Internal""}"
Aktirak Award in Electrical or Software Engineering,2000,1,Continuing Undergraduate Awards Competition,Aktirak Corporation,"Offered annually to a continuing undergraduate student enrolled in the Schulich School of Engineering, majoring in Electrical or Software Engineering; Financial need; Academic merit; Canadian citizen or permanent resident","{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Domestic"", ""Faculty"": ""Engineering"", ""Major"": ""N/A""}","2, 3, 4","{""Type of award"": ""Bursary"", ""Internal/external/government"": ""Internal""}"
Advocis Calgary Scholarship,800,1,Continuing Undergraduate Awards Competition,Advocis Calgary,"Offered annually to a continuing undergraduate student entering third or fourth year in any faculty; Academic merit; Extra-curricular activities; Interest in Sales, Financial Planning, Life Insurance or Investment Planning; Canadian citizen or Permanent Resident.","{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Domestic"", ""Faculty"": ""Any""}","3, 4","{""Type of award"": ""Scholarship"", ""Internal/external/government"": ""Internal""}"
A. Norman Maloney Memorial Bursary,3000,1,Law Awards,"Family, friends and colleagues of Norman Maloney","Offered annually to a student entering second or third year in the Faculty of Law, JD program; Satisfactory academic standing; Financial need; Extra-curricular activities encompassing a wide range of community and/or sports involvement.","{""Student type"": ""Professional"", ""Citizenship/residency"": ""Any"", ""Faculty"": ""Law""}","2, 3","{""Type of award"": ""Bursary"", ""Internal/external/government"": ""Internal""}"
Albert Gordon Avis Bursary,1900,1,Continuing Undergraduate Awards Competition,Estate of Albert Gordon Avis,Offered annually to a continuing undergraduate student in any faculty; Academic merit; Financial need.,"{""Student type"": ""Undergraduate"", ""Citizenship/residency"": ""Any"", ""Faculty"": ""Any""}","2, 3, 4","{""Type of award"": ""Bursary"", ""Internal/external/government"": ""Internal""}"
